Value USD (PM)
621.65 0.00
609.67 1324.60
610.92 1323.65
608.82 1321.75
610.38 1310.80
609.11 1308.35
607.04 0.00
611.58 0.00
610.19 1314.85
608.66 1313.80
598.88 1326.10
597.42 1339.10
594.08 1338.65
603.88 0.00
601.74 0.00
598.98 1340.50
605.96 1327.00
605.67 1322.50
603.85 1318.10
609.39 1322.50
614.82 0.00
612.98 0.00
611.85 1313.30
609.62 1283.30
607.18 1269.40
612.08 1254.50
617.21 1258.75
614.74 0.00
615.65 0.00
617.54 1259.50
614.77 1253.45
635.01 1256.50
635.96 1261.05
634.02 1251.75
637.94 0.00
641.42 0.00
638.97 1254.80
636.29 1258.20
629.25 1269.05
627.72 1271.65
631.92 1266.05
655.48 0.00
653.25 0.00
651.39 1265.55
655.31 1269.40
651.45 1270.50
682.22 1266.25
687.68 1273.00
685.91 0.00
698.00 0.00
702.00 1272.00
697.01 1288.45
733.33 1303.75
686.17 1301.00
683.69 1302.80
704.79 0.00
712.00 0.00
709.96 1283.05
708.97 1282.35
720.93 1281.40
721.50 1267.50
715.45 1236.45
703.71 0.00
702.28 0.00
706.46 1213.60
710.91 1226.95
711.73 1229.20
736.96 1226.75
747.52 1211.00
748.98 0.00
729.06 0.00
738.53 1214.25
736.97 1212.25
741.63 1185.35
737.45 1186.10
735.64 1187.70
733.67 0.00
727.96 0.00
727.31 1187.00
732.71 1186.55
742.69 1178.10
742.05 1161.85
772.43 1173.50
764.33 0.00
762.97 0.00
754.63 1162.20
756.62 1172.50
758.99 1177.65
769.72 1171.05
770.02 1163.60
769.08 0.00
777.00 0.00
777.00 1156.10
777.99 1158.55
774.89 1162.25
776.75 1126.95
775.88 1131.60
788.70 0.00
788.40 0.00
788.67 1136.25
793.09 1125.70
824.21 1133.65
834.97 1131.35
901.31 nan
891.61 0.00
892.60 0.00
897.33 0.00
930.37 0.00
930.34 1134.60
963.38 1145.90
952.15 nan
958.12 0.00
997.72 0.00
1015.97 0.00
1013.42 1151.00
1126.76 1164.25
994.67 1176.70
999.65 1175.85
896.83 0.00
908.14 0.00
910.49 1178.50
906.05 1189.50
785.22 1178.55
780.92 1205.05
826.29 1190.35
817.91 0.00
819.55 0.00
830.50 1203.00
903.84 1216.05
906.60 1214.75
895.80 1196.05
893.62 1200.55
895.64 0.00
918.60 0.00
922.07 1212.85
919.97 1216.80
893.05 1195.00
915.96 1189.70
915.05 1184.85
920.31 0.00
915.93 0.00
912.19 1192.80
964.71 1212.80
979.70 1203.65
983.42 1221.95
1013.03 1215.20
1031.00 0.00
1034.07 0.00
1024.01 1226.75
1050.11 1231.00
1052.84 1242.10
976.10 1236.80
999.10 1228.30
997.59 0.00
1000.60 0.00
999.88 1222.25
1001.20 1230.75
1012.33 1224.40
1035.21 1240.55
1035.20 1241.95
